COD FACT,NUM FACT,FECHA FACT,ID CLIENTE,CLIENTE,NIF CLIENTE,CUENTA PGC.,REF ORIG.,BASE,%R.E,R.E,IRPF,%IVA,IVA,IMPORTE,ES ABONO,SUBCUENTA,RAZON SOCIAL,CP,LIMITE ACTIVO,NO PERMITIR RECIBOS CON FACTURAS VENCIDAS DE MAS DE,DOCUM.PAGO,TIPO PAGO,DELEGACION
470522,20-18782-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,40.24, ,0,0, ,8.45,48.69,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,40.24,0,0,,21,8.45,,,,,,,,,,
470521,20-18781-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,47.3, ,0,0, ,9.93,57.24,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,47.3,0,0,,21,9.93,,,,,,,,,,
470505,20-18765-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,11.91, ,0,0, ,2.5,14.41,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,11.91,0,0,,21,2.5,,,,,,,,,,
470503,20-18763-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,17.63, ,0,0, ,3.43,21.06,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,15.13,0,0,,21,3.18,,,,,,,,,,
,,,,,,,BASE 2:,2.5,0,0,,10,0.25,,,,,,,,,,
470502,20-18762-S1,3/1/2020,7678,"VALDECODE ONLINE, SL",B66515594,430007678,,73.72, ,0,0, ,15.48,89.2,0,No vinculada a subcuenta,"VALDECODE ONLINE, SL",28005,NO,,METÃLICO,CONTRATO CLIENTE,CENTRAL
,,,,,,,BASE 1:,73.72,0,0,,21,15.48,,,,,,,,,,
